INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588324,Vitis_acerifolia,1,-0.57560796,-0.024210943,-1.120719,-0.31087193,-0.6200513,-1.2335806,-0.81278,-0.8037994,-0.9385726,-0.6453387,-0.71788377,-0.5826164,-0.9804203,-0.79545593,-0.39146137,-0.42973754,0.33311954,-0.20091559,-1.1013923
588442,Vitis_acerifolia,1,1.3318979,0.50784266,-1.5917417,-0.2751439,-1.7153841,-2.0209687,-1.1391906,-0.75064886,0.05919615,-0.5027977,-0.5639543,-0.51799417,-1.0186081,1.6817534,-0.25250962,-0.075086094,-0.5902142,-0.08908009,-0.11382154
237621,Vitis_aestivalis,2,-0.18495086,-0.5104937,-0.46185246,-0.15429996,-0.25278986,0.22568263,-0.07533831,-0.11999833,0.29590818,-0.26297057,-0.21581014,-0.42246896,0.15555751,-0.4881984,-0.18616371,-0.26670885,-0.055720598,0.4303349,0.1802497
588677,Vitis_aestivalis,2,-0.13892043,1.0641456,0.8755921,-0.17298631,0.7800009,1.4009551,0.27046207,0.6459466,0.43305835,0.91738963,1.099625,0.41240448,1.7655741,0.39371422,0.71134025,0.6123195,0.54401165,-0.74203306,-0.0775644
483143,Vitis_aestivalis,2,-0.17325518,-0.65264624,0.4421419,-0.19030802,-0.41872033,-0.5317296,-1.398989,0.15426238,0.189604,-1.2788051,-0.95575035,-0.23765738,-0.24638587,-0.2755846,0.13507377,-0.90325224,0.07039986,-0.8506349,0.9861843
588626,Vitis_aestivalis,2,-1.044403,0.033746712,-1.452008,-0.1212375,-0.29541805,-1.1962875,0.37455043,-0.58890074,-0.517258,0.5674832,0.005816697,-0.24413916,-0.24057534,0.30203265,0.43619734,-0.51745546,-0.53931075,-0.45245507,0.50823164
483138,Vitis_aestivalis,2,-0.07360216,0.3486703,-0.12259369,-0.02164399,0.029039167,0.3370445,-0.5457204,0.1616205,-1.3177006,0.6223539,0.26101816,-0.007851472,0.039369415,0.9927669,-0.36439237,-0.23801988,0.089504264,-0.9112341,2.5335512
483130,Vitis_aestivalis,2,-0.6883573,-0.62496936,0.5514168,-0.16946568,0.43062562,0.36149144,-0.6709196,0.52493006,-0.8577204,-1.2373435,-1.0091021,-0.46258673,0.29396087,-0.19677651,-0.28955087,-0.6466755,0.8708092,-0.900502,0.74281275
588199,Vitis_cinerea,3,2.7227068,3.6156008,2.0521524,1.3451788,2.7460024,2.6070173,2.8226192,-0.6727426,1.1973078,5.087517,5.4402313,5.260022,1.9132265,5.69844,4.2687774,6.945001,-0.85384476,-0.22191942,0.40249908
588198,Vitis_cinerea,3,-0.014181095,1.565234,1.4417081,0.03787071,1.7787794,2.1407094,1.0125713,-0.01982799,0.7553654,0.56893915,1.8358638,0.72843015,0.71967816,0.8740426,-0.12963392,1.7963622,0.36205637,0.73958075,-0.228281
588205,Vitis_cinerea,3,-1.7087865,-0.06382038,0.56417966,0.9262171,1.6034291,-0.3669225,0.68219113,-0.60236394,0.7740394,0.6062843,0.86900496,-0.20831257,0.45743993,1.0518757,0.27887285,0.85525197,-0.58437604,-0.2563424,0.839896
588200,Vitis_cinerea,3,2.7365959,4.026312,0.7042365,7.35657,1.1187823,1.2445906,0.20130736,0.22888878,0.86843044,0.23954579,0.22108218,0.90474504,1.8794056,1.0714598,0.91874564,1.5628446,2.5380964,0.7504745,-0.079983585
588186,Vitis_cinerea,3,1.1348474,0.8957136,-0.23052849,0.11244495,2.1408434,2.8575928,0.99079716,1.0637676,0.27871597,1.7754639,1.2131093,0.44770342,2.3746064,1.558544,0.22254169,-0.23002729,0.96615803,4.3235774,1.0507799
588221,Vitis_cinerea,3,-0.6417137,0.19005801,0.003322995,0.22686505,0.5340428,3.8398867,-1.2592018,2.8434198,0.77415395,2.5748768,1.8834424,0.31735313,1.4407157,1.9568383,0.076633506,-0.86519164,1.8546242,5.575876,2.1119702
588398,Vitis_cinerea,3,-0.019268613,-0.46302122,0.21725348,-0.07796435,0.307438,-0.22940223,0.9544322,-0.76482224,1.258534,-0.13476802,-0.000224292,0.8252556,1.7049512,0.8771486,-0.2521141,-0.29910257,-0.6900071,0.10972351,1.0004983
588218,Vitis_cinerea,3,3.2933347,2.846573,-0.3741166,-0.07429708,1.6069341,0.8259008,1.9799722,-0.5765616,0.4709299,0.4461516,0.816297,3.1927943,2.468121,1.8875341,0.39614448,1.3992962,-0.83576584,2.8717682,1.3594674
588154,Vitis_cinerea,3,-0.17711002,-0.33356506,1.1199181,-0.2301797,1.0241138,1.0451822,-0.110763624,1.1908879,0.6128539,0.75046086,-0.003251684,0.5070215,1.1545814,-0.2858197,0.72328866,-0.40343344,1.1297636,1.4415858,0.5026413
588356,Vitis_cinerea,3,5.3040032,2.8505514,0.06482834,0.57477343,2.0102081,1.2394339,1.0492115,-0.23735672,0.99472654,3.4815936,3.0711224,1.7901133,2.1052113,2.1179626,0.2813043,0.2862303,-0.8163524,-0.12931488,1.1871297
588208,Vitis_cinerea,3,1.413412,2.513771,2.927505,0.04730245,3.483767,2.6950004,3.168385,1.7328552,3.5383193,1.3556584,1.8657094,3.9680624,5.8589387,4.037911,1.6075691,1.578524,1.1746176,1.9546067,0.91424584
588197,Vitis_cinerea,3,-0.031551637,0.73507845,0.36919293,0.049674217,0.79093593,0.3276649,1.4428785,-0.64108473,1.1532655,0.60203236,0.9420447,1.9547007,0.36262923,0.5798856,-0.2572636,0.1945487,-0.95025784,2.023422,0.109613
588219,Vitis_cinerea,3,-0.8278483,0.20778613,1.8050586,-0.04163216,2.1533608,2.2358105,1.5188334,0.17787962,2.5672657,2.100259,1.9060692,2.529505,1.8160088,1.794228,0.48601702,0.39974257,-0.13598129,3.028564,0.04229497
588217,Vitis_cinerea,3,-0.70965505,-0.69930905,2.239258,-0.207067,-0.59973145,-0.19804756,-1.3291838,2.1932204,-0.10739781,-0.36610305,-0.5440275,-0.47541565,-0.108049855,-1.113441,-0.1820913,-0.62639683,1.8782068,1.1328377,-0.82677287
