Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588372_z,Vitis_cinerea,3,0.64591515,-0.24527635,0.047384396,1.1171324,3.8842802,2.0648313,2.325237,1.6282195,5.5117383,2.145238,0.84452504,0.74210507,2.137432,0.078992605,0.13856533,-0.7135495,1.4127858,4.310147,0.17068844
588329_z,Vitis_cinerea,3,-0.58301353,-0.3674955,0.5842615,1.3213505,-1.2802534,0.5756621,-1.1079433,1.2601317,3.4713535,2.204897,1.2178758,1.6780792,0.34585816,0.38389874,0.46246824,-0.8633421,1.0959502,0.70202684,-0.015805297
588143_z,Vitis_cinerea,3,-0.736564,-0.26847553,0.022528972,1.1300682,1.7550054,2.120528,0.4364119,1.4082177,1.7416065,1.0424998,1.3290218,0.9320649,1.1514812,-0.10150205,0.20791852,-0.6783914,0.8334671,3.7556794,0.25328326
588352_z,Vitis_cinerea,3,-0.6744806,-0.5483022,-0.06346516,0.41304147,2.1434667,0.3399099,-0.041548565,1.9387748,2.2374866,0.494347,1.2350312,1.8696474,2.1392193,0.28150305,0.10015527,-0.7991304,1.8519464,0.92141366,0.40993747
588222_z,Vitis_cinerea,3,-0.32115486,-0.38459203,2.1241736,-0.002612032,-0.4062895,1.0838625,-0.57214946,2.0108466,2.328894,2.3263168,2.378358,1.1939353,0.98698366,0.6470439,0.11016801,-0.83218604,2.2922893,1.0631056,0.9202273
588220_z,Vitis_cinerea,3,-0.7453526,0.063057885,1.7759427,0.24382178,1.6733899,1.2832744,-1.0386459,1.2827637,3.119383,1.7831944,2.2724876,0.5564666,0.18443114,0.7955768,0.33517134,-0.7570007,2.4806552,2.3418071,-0.035212226
588165_z,Vitis_labrusca,4,-0.6299209,-0.6782802,3.4805646,-0.5490626,-0.58813524,-0.10193995,-1.2718908,1.2668841,-0.31092194,0.1018724,0.059147,-0.099892326,-0.6546615,0.82707936,0.056709714,-0.84045947,1.2024127,-0.8765977,0.64956516
588182_z,Vitis_labrusca,4,0.61775917,-0.43205792,1.726579,0.8887227,-1.4121763,2.0286953,-1.0580933,0.20299332,1.1308185,2.2378352,2.5019565,0.42669043,-0.1013394,2.0204136,1.5293751,-0.8570271,0.15314943,-0.7724502,0.05411103
588128_z,Vitis_labrusca,4,-0.5226367,-0.019814005,3.0858579,-0.15804203,-0.2518676,4.8872323,-1.4814018,1.8622137,0.25824937,2.389034,1.6581734,-0.030463926,-0.20500231,1.5030394,0.6137734,-0.80388415,4.2389846,3.4937737,0.57104063
588173_z,Vitis_labrusca,4,-0.04386557,-0.5739303,2.7079115,0.24657674,-1.4183276,0.16249414,-1.2378532,0.90115434,0.3830157,0.65190285,1.1400025,0.040992506,-0.30407172,0.851507,1.2310023,-0.7697977,0.75965685,-0.8322262,0.54875547
483148_z,Vitis_labrusca,4,-0.27930793,-0.54559517,2.6573856,0.3028446,-1.7914795,-0.16462319,-1.4101943,1.1146437,1.2832355,0.60332286,0.22533233,0.04345381,-0.36654815,0.68274796,0.51607174,-0.9795876,0.92966086,-0.8450321,0.6720184
483160_z,Vitis_labrusca,4,-0.3853527,-0.27352884,3.199593,4.720873,-0.6397304,1.5695229,-1.2424921,1.6480422,2.5313435,1.1222498,2.1759758,0.33067456,0.24873234,1.1148024,2.7716734,-0.80938095,1.7284852,-0.7768294,0.24995808
483161_z,Vitis_labrusca,4,-0.33697274,-0.0134484,2.1760268,0.42373985,-0.67269903,2.9769795,-0.83113736,1.9202772,0.8294959,2.6931844,2.0393896,0.20827097,0.08989907,1.0039351,0.8997934,-0.57208526,2.005509,-0.85075986,-0.016215835
483164_z,Vitis_labrusca,4,0.1594871,-0.33070138,2.4677002,0.15788767,-0.39085677,0.65189123,-0.95589626,0.8103407,1.109271,1.0041485,2.909291,0.3524912,0.6662593,0.80022097,3.5707529,-0.74994045,0.722754,-0.82878566,0.502278
588583_z,Vitis_labrusca,4,-0.021241577,-0.74111277,1.8550023,-0.13661304,-1.0826367,-0.50307333,-0.9330034,0.63985336,-0.01731816,0.3775006,0.17271891,-0.027351234,-0.7169646,-0.20977227,1.2615651,-0.8582349,0.90905285,-0.82517457,0.4609153
588585_z,Vitis_labrusca,4,0.17017892,-0.59534895,2.1127002,0.36441487,-1.2515917,0.5631132,-0.7201098,1.259209,1.361688,1.1414827,1.1934617,0.29456913,0.031908043,0.33864576,1.6421424,-0.81015235,1.2929808,-0.83030045,0.33876565
594349_z,Vitis_labrusca,4,-0.6508272,-0.029931176,0.5242334,0.7206817,0.7220993,1.2266308,-1.5899044,0.82767135,-0.1774233,0.9714685,1.5223205,-0.10184065,0.26767775,0.61524904,0.2179565,-0.617801,0.94509315,-0.4346734,0.112497464
