Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588466_x,Vitis_cinerea,3,-1.4889818,-0.3450344,-0.42965847,-0.12850015,-0.17260276,-0.8473521,0.20714097,-0.46733877,-0.6534285,-0.4583565,-0.5534767,-0.34652394,0.6383968,-0.20266888,-0.36938813,0.030485557,-0.7030908,0.040336605,-0.18431036
588685_x,Vitis_cinerea,3,-0.30549935,3.1159344,-0.22932765,0.39647117,1.0221372,-0.32463714,0.84931827,-0.098185405,-0.3709807,-0.39488447,-0.54008263,1.2613869,0.791298,0.041064486,0.9402856,0.87230587,-0.33115533,1.7444724,0.3717355
588460_x,Vitis_cinerea,3,-1.5587716,-0.057462648,-0.8479371,0.20132186,0.47907546,-0.45623413,0.61370414,-0.74813354,-0.46767607,-0.333782,0.1976856,0.09379263,1.5427177,0.1640251,-0.11261766,1.7902625,-0.8852961,1.1424441,-0.20159255
588328_x,Vitis_cinerea,3,1.852731,0.73178273,-0.4109134,0.19584024,0.9708142,-0.74107003,0.89406264,-0.27916417,0.263688,-0.23078722,0.07073764,2.0266414,1.4498503,0.76202995,-0.24944098,0.18753618,-0.6119681,0.70109653,0.08730706
588143_x,Vitis_cinerea,3,0.1201355,0.62837744,-0.6258155,0.9670483,1.1722847,-0.082271695,0.98939526,-0.27106807,0.19770373,0.020167295,0.114709415,0.32243717,1.9032788,0.33248225,-0.022611305,0.62236154,-0.65015036,1.4572791,0.07175802
588372_x,Vitis_cinerea,3,2.4414022,4.833311,-0.40833125,0.68447196,1.3809217,-0.6356371,1.6360058,-0.88485605,0.62672764,-0.4927797,-0.22265463,1.4222146,2.964952,0.6548641,-0.010895352,0.45206997,-0.97352445,0.756242,0.6603166
588329_x,Vitis_cinerea,3,-0.6666543,1.201681,-0.8070351,2.1247368,0.7357651,0.21776682,1.2035861,-0.9893477,0.29739225,1.3619075,1.9263952,3.1540706,1.9337262,1.2362826,0.2955528,0.33690077,-1.0290406,0.20298226,0.07771429
588352_x,Vitis_cinerea,3,-1.483282,0.42350048,-1.1847444,-0.3340509,-1.1799524,-1.5165185,-1.0629315,-0.6293466,-0.9422073,-0.8281062,-0.82912433,0.599799,0.44161946,-0.3582026,-0.58890456,-0.47614175,-0.68323797,-0.30968103,-0.22233616
588220_x,Vitis_cinerea,3,0.63956606,2.1182723,-0.16480027,-0.44847652,0.87897706,0.10984404,0.55841696,-0.22543724,0.028430821,-0.29305017,-0.26710337,0.4710486,1.6231346,-0.100957945,-0.596066,0.37571672,0.16678967,0.6091177,-0.15851147
588222_x,Vitis_cinerea,3,2.6432724,3.757188,-0.5692756,-0.18979177,1.1491956,-0.0492394,0.6749845,-0.48191538,-0.046542805,-0.111409046,0.334821,0.97502834,2.8348894,0.17842472,-0.15766586,0.600354,-0.7449013,0.63227767,0.41613764
588128_x,Vitis_labrusca,4,-0.63438827,3.5583377,-0.3341268,-0.15232462,0.78281176,-0.31563148,1.1193889,-0.84438086,-0.071480766,-0.59619564,-0.5251052,-0.19447054,1.0045843,-0.23711152,-0.8458092,0.56538117,-0.6071188,1.7253048,-0.31935227
588173_x,Vitis_labrusca,4,-0.41932344,0.5864553,-0.46984872,-0.31236866,0.5854381,-1.0363525,1.1362878,-0.8617579,-0.6079549,-1.1736048,-1.1469101,-0.119676985,0.75708824,-0.11150176,-0.121463686,0.49951518,-0.88989556,-0.81903064,-0.16679434
588182_x,Vitis_labrusca,4,0.06556502,2.1050138,-0.03473448,0.30809417,0.6200592,-1.1493913,1.0399839,-0.85586745,-0.42026392,-0.99202895,-0.98996127,0.12153877,1.3066672,-0.1347139,-0.10794659,0.16780433,-0.85681856,-0.71336746,-0.28109324
588165_x,Vitis_labrusca,4,2.4683468,1.8272059,-0.25461623,-0.294993,0.6616242,-0.71537125,1.0755833,-0.9270892,-0.5467432,-0.9410219,-1.0728948,-0.06590451,-0.02707573,-0.0365047,-0.2531674,0.5972807,-0.9626619,-0.8136507,-0.16671665
483164_x,Vitis_labrusca,4,1.1463205,2.0942879,-0.27682835,0.30558193,1.4847288,0.107142106,1.0943072,-0.5339178,-0.10088604,-0.23567472,0.031262133,0.19398099,1.0116907,0.8593018,0.59486747,0.5932228,-0.69824445,-0.7981163,0.31354076
483160_x,Vitis_labrusca,4,1.7327524,1.3260815,-0.6607187,0.63787395,0.61385787,-0.8440604,0.93899757,-1.0469862,-0.019928152,-0.655404,-0.5523307,-0.09223035,1.5615954,-0.06500857,0.048443086,0.45161903,-0.9688677,-0.6367102,0.047147173
483161_x,Vitis_labrusca,4,-0.017000705,0.36031905,-0.609906,0.06603863,0.3464714,-0.32930306,0.80717236,-0.683237,-0.69304955,-0.7842281,-0.71731037,-0.23455332,0.5363257,-0.009823883,-0.33238596,0.9877086,-0.6190011,-0.8710923,-0.08259636
483148_x,Vitis_labrusca,4,1.8799248,4.79361,0.3342415,0.13371094,0.7319624,-0.7439597,1.0383176,-0.73588395,-0.2630883,-0.7253336,-0.84273577,0.12893988,1.1181102,0.1733272,0.6351186,-0.4448068,-0.7262178,-0.73790646,-0.12373907
588583_x,Vitis_labrusca,4,-0.07406529,1.6142919,-0.60723895,0.4097755,0.87917626,-0.27664807,1.6300346,-1.284378,-0.8897959,-1.1122674,-1.1914005,0.4974306,0.73717713,-0.12504032,1.8442436,0.120407514,-1.132894,-0.63513815,-0.01188551
588584_x,Vitis_labrusca,4,-0.9373535,-0.3607162,-0.5321924,0.13736545,0.62966985,-0.20817162,1.1647695,-0.7411037,-0.37999046,-0.041888304,-0.20159361,-0.1574346,0.30308574,-0.38605005,-0.32626623,-0.35644406,-0.8698868,-0.78991616,-0.25035295
588585_x,Vitis_labrusca,4,1.9892187,1.1435915,-0.49947625,0.46000782,0.6663725,-0.7360866,0.9260171,-0.94263494,-0.11566146,-0.73760206,-0.69447196,0.23321427,1.3252516,-0.39932802,-0.03614314,0.00747717,-0.970794,-0.70604223,0.1955923
483157_x,Vitis_labrusca,4,0.6367964,1.2589796,-0.31862697,0.7060983,1.5439017,0.109191015,0.6262779,-0.6700563,0.33795115,-0.59958667,-0.79987735,-0.14428845,0.3041456,-0.27252936,0.25001225,-0.48476273,-0.8243906,-0.8684669,-0.08420164
