INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
313922,Vitis_riparia,6,2.1587398,2.1172738,-0.010012727,-0.49601728,-1.5738696,-0.093239546,-1.702459,0.3805426,-0.9138225,-1.1416444,-1.3554208,0.17418465,-1.3756168,-0.7881682,-0.14674386,-0.17462468,0.5260128,0.002856853,-0.6977041
588269,Vitis_riparia,6,-0.29991937,-0.55080986,-0.25546193,-0.8909985,0.48221537,1.433513,1.4010531,-0.38343683,-0.46036276,0.17520337,-0.08944657,-0.15471616,-1.1251975,-0.106998935,-0.4904704,-0.33372065,-0.54065096,-0.05155086,-0.90656793
588369,Vitis_riparia,6,0.4335703,-0.31743032,-0.21959701,-0.27669856,-0.5912268,0.13810356,0.28085002,-0.4341461,0.014104127,-0.18680894,-0.3014064,-0.41673243,-0.86903226,1.0927882,-0.11665035,-0.16846226,-0.46160346,0.076530196,-0.8357835
588457,Vitis_riparia,6,0.2541324,-0.7072723,-0.45886734,-0.20551692,-1.3573271,-0.6393184,-0.1872406,-0.98276293,-0.85390407,-0.33676764,-0.24216582,-0.5122027,-0.86407113,-0.3892545,-0.5169518,0.058050137,-0.9329207,-0.23259309,-0.55497384
483167,Vitis_riparia,6,3.2939599,-0.14552703,-0.46290147,1.5639464,-1.0445677,0.6631983,-1.3670125,-0.3641171,-0.58781177,-0.44222265,-0.65505856,-0.5211713,-1.309667,-0.49626866,-0.19319738,0.21363239,-0.10780065,-0.2336055,-0.62699896
483182,Vitis_riparia,6,1.8814644,-0.40507945,0.7313359,-0.5319639,-1.0832361,0.21868834,0.07315936,-0.5120925,-0.48170674,0.4960819,0.7863569,-0.25358403,-0.6565557,-0.15877488,-0.35885414,1.1954421,-0.18123063,-0.4150225,-0.20742594
483181,Vitis_riparia,6,0.13833204,-0.5516581,0.05246904,0.78624624,0.1992462,0.7707657,1.1079893,0.15588292,-0.76214767,0.09874652,1.7713602,-0.46547797,-0.5181446,-0.49772146,-0.076526225,0.23265016,-0.17578371,1.9818422,-0.4435792
588483,Vitis_riparia,6,0.33636516,-0.74309313,-0.48702583,0.8734813,-0.6747438,-0.2814419,1.5211821,-0.52962154,-1.0543634,-0.5373425,-0.6686873,-0.6163843,-1.2005175,-0.7291335,-0.2011087,-0.011135018,-0.47445047,-0.23243234,-0.7208914
483165,Vitis_riparia,6,-0.36773366,-0.97321075,-1.1179714,2.8759766,-0.65528613,-0.81610006,1.1212574,-1.1807643,-0.9185321,-1.4559736,-1.2680938,-0.602134,-1.0500089,-0.2491264,-0.42567948,-1.0011075,-1.0106319,-0.5296628,-0.82544494
483178,Vitis_riparia,6,-0.26651192,-0.66935915,0.32055426,0.005126162,-0.99763864,-0.21904935,-0.2640389,0.03085195,-0.8092202,-0.23910275,-0.39201728,-0.32987666,-1.0999218,-0.3833272,-0.25498813,0.33842248,0.26673475,-0.4233268,-0.6654404
588565,Vitis_riparia,6,3.166716,0.9134,-0.06520998,1.7048558,0.22637923,1.275334,-0.21515058,-0.14308183,-0.25412557,-0.16887312,-0.54497826,-0.57936835,-1.4522784,-0.62474,-0.2929142,-0.42926288,0.020191014,-0.065022424,-0.7763835
483170,Vitis_riparia,6,-0.4229093,-1.0977973,-0.7382556,-0.63462025,-0.5217024,0.4574082,0.31773284,-0.5317291,-0.6694138,-0.7355596,-0.71808845,-0.4973833,-0.64012396,-0.6377498,-0.33249775,-1.0009042,-0.6786449,0.30841073,-0.40931317
483175,Vitis_riparia,6,1.2155683,0.2549695,-0.01976223,-0.10309411,-0.08864691,0.09709029,0.44601792,0.09633548,-0.56878465,-0.13358547,-0.3524844,-0.47772345,-0.39597407,-0.52226937,-0.008800897,-0.4486727,-0.26993358,1.4947637,-0.724566
