IVNO,genus_species,spec_as_int,B11_X,B11_Y,B11_Z,Na23_X,Na23_Y,Na23_Z,Mg26_X,Mg26_Y,Mg26_Z,Al27_X,Al27_Y,Al27_Z,P31_X,P31_Y,P31_Z,S34_X,S34_Y,S34_Z,K39_X,K39_Y,K39_Z,Ca44_X,Ca44_Y,Ca44_Z,Fe54_X,Fe54_Y,Fe54_Z,Mn55_Y,Mn55_X,Mn55_Z,Co59_X,Co59_Y,Co59_Z,Ni60_X,Ni60_Y,Ni60_Z,Cu63_X,Cu63_Y,Cu63_Z,Zn66_X,Zn66_Y,Zn66_Z,As75_X,As75_Y,As75_Z,Rb85_X,Rb85_Y,Rb85_Z,Sr88_X,Sr88_Y,Sr88_Z,Mo98_X,Mo98_Y,Mo98_Z,Cd111_X,Cd111_Y,Cd111_Z
588143,X_Vitis_cinerea,3,0.1201355,-0.41958222,-0.736564,0.62837744,-0.371228,-0.26847553,-0.6258155,0.0841885,0.022528972,0.9670483,3.629774,1.1300682,1.1722847,1.689158,1.7550054,-0.082271695,1.8225951,2.120528,0.98939526,1.3436915,0.4364119,-0.27106807,0.6201308,1.4082177,0.19770373,0.4848583,1.7416065,0.020167295,0.10877704,1.0424998,0.114709415,0.43638614,1.3290218,0.32243717,0.5230235,0.9320649,1.9032788,1.7350942,1.1514812,0.33248225,0.08518795,-0.10150205,-0.022611305,-0.2118314,0.20791852,0.62236154,-0.041805994,-0.6783914,-0.65015036,0.31530845,0.8334671,1.4572791,1.8888324,3.7556794,0.07175802,0.3851811,0.25328326
588154,X_Vitis_cinerea,3,1.4399177,-0.33582076,-0.16282777,2.7199433,-0.68279856,-0.4601606,-0.672789,0.07827612,1.6442614,-0.19042516,-0.85929096,1.0018661,1.0801497,0.66763836,0.5227608,0.27231577,0.85273874,2.0189304,0.6039129,0.045181032,-0.1655682,-0.18729076,0.17515634,1.8316096,-0.10978327,-0.013821077,2.4744055,0.09359398,-0.13481201,2.8057148,-0.1681254,-0.39253965,2.565828,0.04376955,0.18598491,0.7330485,1.9136189,1.2352757,1.1090479,0.22669798,-0.75661176,1.3468194,0.11577308,0.24089946,0.50236094,-0.009293448,-0.40001974,-0.6780187,-0.2853167,0.2643824,1.7508066,0.9364039,1.2413843,2.1296475,-0.0833134,0.07478228,-0.025444046
588186,X_Vitis_cinerea,3,0.33043993,0.26997772,-0.5462349,2.3230977,-0.15479647,-0.324799,-0.77313566,-0.5146042,0.34030986,-0.19445682,-0.44695055,0.5331864,1.2737947,1.5554459,0.898646,-0.4083368,2.3413806,4.8115554,0.6656561,0.8903889,-1.560541,-0.051627614,0.12151884,2.5421047,-0.49021533,-0.21304144,1.348524,-0.19851248,0.27957103,1.1891189,-0.2923872,0.34133258,1.1113776,0.11843455,0.14861381,0.47160286,1.6179266,2.4789457,2.4783223,0.6804647,0.10498818,0.28039187,-0.5513744,-0.1474899,0.14530496,-0.023957245,-0.28403535,-0.90600926,-0.36960238,0.19161113,2.8362107,3.2372375,3.7958388,6.6472015,-0.06386027,0.26480725,0.2142573
588197,X_Vitis_cinerea,3,0.297882,-0.26860896,-0.2053601,1.7201185,-0.22379279,-0.31805056,-0.39139432,-0.25131127,1.8117006,0.105948426,-0.5224936,0.98773617,0.89180875,0.4822604,1.3869045,0.10744029,0.2633986,2.7928326,1.6139276,1.2372627,-1.1658903,-0.8388649,-0.597831,1.3748776,-0.19006065,0.30838418,5.0175433,-0.23644398,-0.19481793,2.0144534,0.016781714,0.17779002,2.6326792,1.4162383,1.098041,1.9270432,0.8214922,0.42797473,-0.057790086,0.069330566,-0.352195,1.039415,-0.005109322,-0.51963645,0.11007827,0.42322472,-5.36E-05,-0.8491107,-0.93652856,-0.6608053,0.7412828,1.2138934,1.757095,5.828196,-0.047407553,-0.0614701,1.2243496
588198,X_Vitis_cinerea,3,-1.397158,-0.26058808,-0.4857033,0.7015663,0.13277715,-0.44371212,-0.47641513,0.21955006,2.620121,0.33830085,-0.5366988,1.4869584,0.8096321,1.2676027,-0.43493575,-1.2973341,1.7525611,0.7061848,0.29508248,0.9070958,-1.1651216,0.052921828,-0.3356963,0.9193928,-0.3578876,0.07114739,3.0466177,-0.5099146,-0.20819668,1.2185587,0.51384914,0.7170617,2.0440495,0.44360083,0.3254752,1.0531595,0.57668173,0.79194355,0.33737138,0.6599884,-0.2147787,1.1725324,0.042901065,-0.42064434,0.8913004,1.8492535,1.071335,-0.6342347,-0.12753949,-0.07709162,1.4841319,0.43949938,0.61916184,1.5318618,-0.23680058,-0.1786089,-0.009254797
588199,X_Vitis_cinerea,3,0.82557,1.0031744,-0.38971937,0.7313878,1.0134546,-0.15366054,0.05993197,0.4875506,1.7143114,1.3185474,1.0366145,1.3594155,1.4968474,2.0365512,0.09390084,0.8193571,2.1355677,2.2255316,0.56050915,2.2959132,0.1692629,-0.67439616,-0.6111888,0.4604164,0.7285186,0.3346432,1.4968263,1.6502285,1.6185509,2.2404892,2.979098,2.8917,3.9879525,3.7722352,3.1804354,2.0168636,2.4946816,2.008624,0.8279711,2.8429856,2.0389528,1.796211,1.8555992,2.9908512,1.5824764,4.4232273,4.5150523,0.93902117,-0.89530283,-0.61792105,0.31467783,-0.20658818,-0.23306422,0.003576859,0.11370604,0.040065654,-0.07840878
588200,X_Vitis_cinerea,3,0.82254267,1.0095878,-0.24254106,4.4657617,1.189864,-0.249105,-0.40210563,-0.10421864,0.7785418,0.64174676,8.271176,0.4497358,0.45547286,0.74290043,-0.15903208,-0.30746567,1.0165248,0.3989518,0.10692565,0.2846275,-0.673083,-0.40104005,-0.23075211,0.4755457,-0.2664398,0.13855927,3.990453,0.046940878,-0.34136218,0.45959795,0.31107426,-0.25719136,1.1284528,0.33850744,0.4365558,0.9397765,1.5667764,1.9741477,2.0621138,0.2230986,-0.12255466,0.43594682,-0.13058303,0.39249977,0.74963903,1.1428416,0.91514444,-0.489819,-0.49953404,0.8908049,0.6802181,0.63214463,0.6288175,2.298669,0.04528581,-0.12719816,0.39648816
588205,X_Vitis_cinerea,3,-0.43928903,-1.043075,-0.7339812,3.4743714,-0.5669373,-0.6032611,-0.51100886,-0.16570716,0.95080674,0.86805546,0.5324043,0.998626,0.8153866,1.1281979,1.588228,-1.7730443,-0.3071078,-0.3360274,-0.2707265,0.65360105,-1.0735976,-0.7590691,-0.581493,0.84410644,-0.037565205,0.082281254,1.2161753,-0.44501656,-0.19309899,0.14600156,0.28190908,0.13372263,0.37458518,-0.1292442,-0.26468456,-0.24249148,0.7570736,0.5246229,-0.24822505,0.8210706,-0.1317034,0.8742718,0.17484841,-0.103798315,0.32309985,1.0008657,0.4418642,-0.6568451,-0.9041986,-0.4980621,0.8025414,-0.4444188,-0.26357505,0.2946095,-0.04899654,0.19169946,-0.0821025
588208,X_Vitis_cinerea,3,-1.0725298,0.39860538,-0.60726315,0.13925758,0.5401946,-0.6291549,0.38404742,0.8718527,0.36437544,0.54564834,-0.52534795,0.74468315,2.0637925,2.6230793,1.268747,-0.006067311,2.2078335,1.8125464,0.8482238,2.561213,2.8877726,1.0367566,0.40383542,0.25613165,1.5992316,1.7304056,2.392667,0.6608714,0.10985417,2.0425174,0.98569924,0.7350686,3.197028,2.172537,2.3664844,2.8028958,5.5789285,6.030808,6.4569116,4.0939016,1.2632316,1.9813429,-0.13913342,0.92676497,0.22089508,1.437178,0.92563176,0.2818762,0.29699084,0.28433338,0.10310583,0.99644136,1.6961005,3.0428646,0.12485438,0.21747455,-0.007253434
588217,X_Vitis_cinerea,3,0.3880014,-0.58172435,0.16241011,0.017988214,-0.83989364,-0.35339296,-0.32117036,0.56969476,2.9694786,-0.39287513,-0.8314754,0.041728932,0.59329593,-0.6233295,-0.18934537,1.0391753,-0.16840066,-0.10890997,1.0483161,-0.88969094,-1.8133435,-0.38080704,0.59808314,2.8762963,-0.26702252,-0.44325095,0.2990983,-0.42664096,-0.5862108,0.86497235,-0.5452207,-0.71880823,0.5390281,-0.3202893,-0.43296286,-0.25866458,0.55201805,-0.051826563,-0.19328189,-0.66223466,-1.1432375,-0.26642507,-0.6048046,-0.4613313,-0.4031507,1.2208291,-0.54915094,-0.83579844,-0.5020504,0.5972879,2.6144412,1.0604908,0.9677252,1.5510501,-0.02456993,-0.38608998,-0.16931693
588218,X_Vitis_cinerea,3,-0.7525971,1.2666628,-0.13150473,2.8707607,0.6831404,-0.15852359,-0.7101709,-0.57764304,0.039828237,0.043114413,-0.67169005,0.7616846,1.020783,1.1309844,-0.8306879,-0.5863958,0.67262965,0.17843202,0.5796296,1.6493652,-0.33994374,-0.22324193,-0.57060593,1.1270654,1.5285852,-0.098439276,1.5416046,-0.33451056,-0.2578366,0.957362,-0.08446851,0.10192212,1.3656608,1.9760789,1.8780557,1.4532036,2.7368677,2.574273,0.720085,3.143141,0.2586769,2.249703,0.584571,-0.012840114,0.7724584,0.9711189,0.80575347,-0.5992708,-0.69605196,-0.60987955,0.92128235,2.3619125,2.509027,3.0960417,0.80885947,0.3718209,0.27028152
