Accession_position,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588685_y,Vitis_cinerea,3,-0.4449054,-0.14413126,-0.13993123,-0.6276805,-0.43403572,1.7398615,0.25473467,0.020297281,0.055818997,0.3348936,0.4019341,0.6069274,1.4118471,-0.15674627,-0.20598975,0.023382785,0.14386813,2.1195827,0.29104388
588575_y,Vitis_cinerea,3,-0.6425183,-0.6660104,0.13555068,-0.58883554,1.1404994,0.37600493,0.34971437,-0.26589993,-0.06653577,-0.12368494,0.59282017,0.6586135,1.7410158,-0.20656851,0.00212952,-0.3509946,-0.27693614,5.2114854,0.7814915
588466_y,Vitis_cinerea,3,-0.31526756,-0.68764776,-0.1576294,-0.24228255,0.5653287,0.3681893,-0.17290346,-0.23806389,-0.044930443,-0.32729384,-0.27323768,-0.2165205,3.7821672,-0.52660584,-0.4322343,-0.24900529,-0.18949032,0.98075646,-0.07545382
171_y,Vitis_cinerea,3,-0.5460623,-0.64547473,-0.77256715,-0.8737568,-0.054945175,1.2461345,-0.6542649,-0.052191637,0.65881306,-0.20767258,-0.32645825,-0.4428406,0.47920045,-0.79063547,-0.55270845,-0.75811064,0.007007749,-0.7621186,0.23938428
588678_y,Vitis_cinerea,3,-0.08519425,-0.78609324,-0.39691082,-0.1263696,0.7083805,-0.12918656,0.22374082,-0.50069964,-0.7558881,-0.028836053,0.111777574,0.6539924,2.1248913,-0.43093425,-0.4851757,-0.09244086,-0.5056557,2.4524927,-0.014016269
597232_y,Vitis_cinerea,3,0.31585115,0.9293215,-0.7766733,-0.3391086,-0.17743844,-0.83777267,1.3459808,-0.93821436,-0.26496157,-0.50546014,-0.26780963,1.2881875,0.3881475,0.14138113,-0.47078595,0.16570607,-1.0076972,0.33712718,0.48591667
588460_y,Vitis_cinerea,3,-0.2732809,-0.56098884,-0.2149679,-0.6009809,0.9104452,0.5185007,-0.21378374,-0.004659395,-0.34096712,-0.56831557,-0.053699035,0.3723239,2.0248032,-0.29369968,-0.40531066,0.5643941,-0.027467052,0.82273066,-0.09186797
588143_y,Vitis_cinerea,3,-0.41958222,-0.371228,0.0841885,3.629774,1.689158,1.8225951,1.3436915,0.6201308,0.4848583,0.10877704,0.43638614,0.5230235,1.7350942,0.08518795,-0.2118314,-0.041805994,0.31530845,1.8888324,0.3851811
588328_y,Vitis_cinerea,3,-0.1916761,-0.6096847,0.36160085,-0.64825135,0.92004085,0.08691355,0.3494255,-0.011536068,1.1410421,-0.13209341,0.117856495,1.4005889,0.9646935,-0.22022432,-0.36246842,-0.32621935,-0.07097964,1.621069,0.23599511
588329_y,Vitis_cinerea,3,-0.375117,0.13329332,-0.49470884,0.59000105,0.39262527,1.2255626,1.2615374,-0.64020926,-0.35465845,1.7370231,1.7490716,1.9133539,1.2089114,0.3803691,0.21517543,-0.0692258,-0.660827,0.20892791,0.07464654
588372_y,Vitis_cinerea,3,0.24212012,0.5299073,-0.5306146,-0.28160158,2.2674792,-0.25428495,3.2243388,-0.38911486,0.94878954,-0.87238663,-0.8302354,0.43865544,2.5990412,-0.75815946,-0.51240414,-0.21578287,-0.36945492,1.219992,0.011496737
588352_y,Vitis_cinerea,3,-1.2521381,0.54752475,-0.46605858,0.007766597,1.4858894,0.8841143,0.7799947,0.16117084,-0.33076698,0.4198561,0.31864962,0.92236507,2.2022343,0.16894452,-0.4062477,-0.1734804,0.13910645,0.18152478,0.05415281
