INVO,genus_species,spec_as_int,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
588437,Vitis_riparia,6,0.611396074,-0.936907351,-0.870670199,-1.261548877,-0.420669287,-0.335791528,1.636615038,-0.373441756,-0.064705394,0.113054827,-0.470794737,-0.384618372,-0.78981632,-0.275377691,-0.532413006,1.144592643,-0.303168327,0.030481491,-0.187247485
588349,Vitis_riparia,6,-0.162478015,2.00067687,-1.254927754,-0.622238755,-0.334435701,0.874497712,-0.472838134,3.482590437,-0.099767804,-0.200652897,-0.332527816,-0.293571889,-0.664084613,0.53370136,-0.88179028,-0.8068977,1.714431643,0.038400762,-0.124658823
588350,Vitis_riparia,6,2.613611937,-0.506182432,-0.605971754,1.618255973,0.373768419,0.313099414,-0.864522219,-0.011732336,0.518469751,0.328724205,-0.10508801,-0.3094365,-0.188421652,0.633272827,1.27472806,-0.580661893,-0.132493243,0.219136402,-0.209072709
588354,Vitis_riparia,6,0.179058328,-0.818229496,-1.273867369,-0.86959368,0.012912173,-0.539038539,0.900142908,1.689848304,-1.162520647,-0.795263767,-0.967758954,-0.381378978,-0.3367697,-1.015851378,0.019361572,0.727170885,1.897165656,-0.190304816,-0.28662622
588374,Vitis_riparia,6,0.419887364,-0.428601921,-0.735460043,-1.154361367,-0.568975508,-0.500808954,-0.358804166,0.614348292,1.934485078,-0.739121199,-0.885227025,-0.381881118,-0.850131571,-0.876329124,-0.774949074,-0.803901851,0.660149395,-0.252180606,-0.275933117
588259,Vitis_riparia,6,1.032882452,-0.19610627,-1.163719416,-0.18363291,-0.511447489,0.418062657,0.278348774,1.599504232,0.476379454,0.058562625,0.079755925,-0.267605901,-0.09129855,-0.39187026,-0.92897898,0.299636006,0.569459379,0.16923663,-0.211663023
588373,Vitis_riparia,6,0.962162971,0.510034859,0.273014039,-0.727492571,2.81131506,0.51877135,-0.676605403,0.253768802,2.172274351,0.845165551,0.883060038,-0.269159168,-0.694909751,1.230806708,-0.686327398,-0.635148644,0.243541867,0.12429776,-0.165665701
588406,Vitis_riparia,6,0.629353344,-0.182735249,-0.584370971,-0.319882989,-0.12518315,-0.235062987,0.717722595,3.191031218,-0.4354164,0.006987303,-0.694914699,-0.340165615,-0.57968235,-0.469759136,-0.453486472,-0.415915549,1.601718903,-0.142073691,-0.248230636
588355,Vitis_rupestris,7,3.771796465,2.247128963,0.142026514,-0.580948889,-0.47063452,0.312266499,-1.044532537,0.023257798,-0.700833619,0.76140219,1.216342807,-0.178462282,0.596963704,-0.534819841,,-0.714699447,-0.073910713,0.059487559,-0.093658797
588146,Vitis_rupestris,7,-0.58837676,-0.68869561,0.880685389,-0.674223423,-0.611438096,-0.686500311,-0.784878969,0.935230553,-0.907718599,-0.705088973,-0.736280382,-0.340014964,-0.48028937,0.386060059,0.78907156,-0.041643776,0.391695678,-0.527456224,-0.127610251
271662,Vitis_rupestris,7,0.051217224,1.097268224,-1.000021219,-0.544705749,-0.974451005,-0.48026821,-0.595389366,-1.612856984,-1.051740289,0.012306799,-0.17231591,-0.317753732,-0.301698893,-0.047875319,0.28881526,-0.464245707,-1.551627636,0.09673661,-0.307118893
588188,Vitis_rupestris,7,0.484529495,-0.780193448,0.093442775,-1.343602777,-1.039987683,-1.484844685,0.028472813,-0.833555579,-0.910688221,-1.497421384,-1.822539449,-0.43236351,-0.534162402,-1.517469406,-0.791661501,0.607622564,2.227249384,-0.238990977,-0.263777941
588147,Vitis_rupestris,7,0.417442143,-1.128198624,-1.275428295,-0.118167453,-0.800602555,-2.557162523,0.6592893,-2.530741215,-0.824560821,-1.395089149,-1.045111775,-0.165156364,-0.088204384,-0.637857735,-0.505011261,5.095841885,-2.207818747,-0.679346025,0.004603392
588181,Vitis_rupestris,7,0.652026415,-0.539538503,1.500103951,-0.764957964,0.565554082,-1.618438005,-0.562647939,-0.491859227,0.206327558,-1.068040133,-1.324305773,-0.347471088,-0.682366133,-0.673138201,-0.953858793,0.221735284,-0.702122688,-0.171257794,0.110797383
588228,Vitis_rupestris,7,2.193608761,-0.40520221,-0.396062315,-0.313950956,0.382104278,-0.324396908,0.070266955,-0.454638004,1.380351067,-0.663409114,-0.779919028,-0.356993377,-0.037040699,0.29092145,-0.630196869,-0.750028253,-0.473531365,-0.149105355,0.432187051
588224,Vitis_rupestris,7,-0.404344618,-0.866576374,-0.381851614,-1.408940554,-1.073999763,-0.029960524,-0.566798449,-0.432352245,-1.156248212,-0.633434415,-0.738426387,-0.359768569,-0.056325581,-0.959248662,-0.923431516,-0.661049783,-0.318049818,-0.298179865,-0.191362724
588330,Vitis_rupestris,7,1.701732755,-1.306878805,-0.632081509,-1.326888561,0.026152965,-0.77805835,-0.332628191,-0.424178451,-0.51621604,-1.470958233,-1.470273733,-0.373744607,0.191044986,-1.523375392,-1.038770199,-0.46245262,-0.631185412,0.099207401,-0.123716123
588227,Vitis_rupestris,7,0.543097138,-0.606667519,-0.85242188,-0.90336591,-0.449688107,-0.740452766,-0.861416936,-0.179852962,-0.426256537,-0.527071714,-0.399704725,-0.187559813,-0.265450537,-0.950629771,-0.666473627,-0.657021105,-0.265492558,-0.391353875,-0.333501816
588683,Vitis_rupestris,7,0.828495145,-0.894860089,0.014413591,-0.783965111,0.277596503,-0.995336652,0.526704073,-0.619370699,-0.717511117,-0.366818279,-0.176582262,-0.31829235,-0.548454344,-0.696539342,-1.417027235,0.23240076,-0.492287874,-0.114343584,0.050789509
588684,Vitis_rupestris,7,-0.562046826,-0.547147989,1.557754159,-0.154307604,1.387607694,0.641599,-0.748017073,2.405610323,-0.272192478,0.319330424,-0.007557342,-0.241740033,0.975284398,-0.637029767,-0.328669906,-0.472371876,2.04676795,0.114028841,-0.028823115
588574,Vitis_rupestris,7,0.375758916,-0.624890387,0.364600688,-1.042992473,-0.898416102,-0.953225315,-1.030650973,-0.085380249,-1.415216088,-0.813371778,-0.982847929,-0.292760164,-0.74724412,-1.174193501,-0.879607856,-0.120500997,-0.451554358,-0.152572408,-0.201054871
588454,Vitis_rupestris,7,0.203534156,0.536197066,0.962433219,-0.439275473,-1.122996807,-0.249155194,0.475213915,-0.282653689,-0.614114583,0.181203246,-0.517590582,-0.196019113,-0.71482563,-0.505726218,-0.324925274,1.068850279,-0.315194428,0.382921875,-0.235991836
588384,Vitis_rupestris,7,1.406170964,-0.418442726,-1.021552205,-1.171273828,-0.461154133,-0.966273367,0.269876719,-1.310757637,-1.16462481,-0.628347754,-0.702691376,-0.295413643,-0.427867681,-0.396694481,-0.904855549,1.111923814,-1.263566852,-0.535541356,-0.009509935
588540,Vitis_rupestris,7,0.306864887,-0.879399955,-0.818292141,-1.289916277,-0.869694412,-1.070501804,0.946626782,0.922733963,-0.6465922,-0.87407136,-0.915139258,-0.187381759,-0.429256439,-1.064767241,-0.877046764,-0.877235591,0.573903143,-0.714041531,0.254647702
588333,Vitis_rupestris,7,0.355109602,-0.859947741,0.952700734,-0.530974567,-0.792767107,-1.319201589,-0.615737319,-0.839203835,-1.09241128,-0.964820445,-1.696783066,-0.246189356,-0.593822777,-0.425051391,-1.541591763,-0.679685295,-1.013297915,-0.410964578,0.020814283
588160,Vitis_rupestris,7,-0.243432209,-1.2359519,-1.013157606,-0.552198827,-0.703998327,-1.260542631,-0.15551044,-1.405331373,-0.906046987,-0.811506331,-1.110350847,-0.276417553,-0.769659817,-0.754838288,-0.768031776,-0.355366826,-1.330264091,-0.351177573,-0.150825128
588174,Vitis_rupestris,7,-0.146137133,-0.983150542,0.638105333,-0.482313812,-0.583468974,-0.213645697,-1.015018106,0.151098222,-0.956043661,-0.898245156,-0.995338321,-0.271480232,-0.387002081,-1.453646541,-0.177705616,-0.301466942,0.0110562,0.009972944,-0.274314851
588331,Vitis_rupestris,7,-0.278241992,-0.263444871,1.045798779,0.032819774,0.197234929,-0.632643521,-1.224007368,0.040625956,-1.12398386,-1.35377264,-1.224843025,-0.418330193,-0.473095268,-1.601076126,-0.763770342,-0.6651752,-0.325132847,-0.330673754,-0.331152678
588401,Vitis_rupestris,7,2.950999975,1.946689963,-0.539203644,-0.697479784,-1.087869644,-1.106982708,-1.063242435,-0.201140404,-1.178577304,-1.285564065,-1.294574142,-0.36493665,0.102714889,-1.383816242,-1.22176981,-0.437909603,0.59464711,-0.404021829,-0.299910575
588231,Vitis_rupestris,7,1.580480695,-0.431894004,-0.897152543,-1.076925278,-0.321104735,-0.988482773,-0.111655906,-1.919157505,-1.304841399,-0.787014484,-0.606631815,-0.328737915,0.087525532,-0.622047663,0.30319795,-0.544673622,-1.762943506,-0.390939623,-0.264241993
588229,Vitis_rupestris,7,0.893194973,-0.200554907,0.38599354,-0.310896248,-0.001660284,-0.985999763,-0.02699326,-0.841624498,-0.665679276,-0.878466666,-1.127142787,-0.421503931,-0.464026481,-0.662027597,-0.397725731,-0.60128063,-0.725063205,0.343252987,-0.222271115
588225,Vitis_rupestris,7,-1.07321763,-0.395905018,0.598320305,-0.754641414,1.715356231,1.377666593,-1.047520638,0.485238314,0.375523925,-0.360624224,-0.664331853,-0.257680357,0.503666222,0.12081667,-0.686385095,-0.137315109,0.034402899,-0.019580452,-0.204989821
588415,Vitis_rupestris,7,-0.589964509,0.934876144,-0.241525516,-0.89790678,-0.526810288,0.209341511,-0.698481977,-1.239825368,-0.597930014,-0.717498958,-0.899196386,-0.372808546,-0.703214169,-1.415102005,-1.256694436,0.216307372,-1.002460241,-0.339280158,-0.251737237
